"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "PostCSS", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 0, 0, 0, 1067, 0, 0, 32, 52, 1151
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 0, 0, 1275, 0, 0, 0, 0, 9, 110, 1394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\datos-reforma.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\datos-reforma.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\reformas.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\reformas.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\assets\codigos_reforma_vehiculo.json", "JSON", 398, 0, 0, 0, 0, 0, 0, 0, 0, 9, 407
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\assets\ingeniero.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\assets\opciones_reforma_vehiculos.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\main.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 0, 0, 3324, 0, 0, 0, 0, 312, 615, 4251
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\calculos.ts", "TypeScript", 0, 0, 0, 11780, 0, 0, 0, 0, 193, 755, 12728
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 308, 0, 0, 4, 27, 339
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 15, 80
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.html", "HTML", 0, 0, 0, 0, 0, 298, 0, 0, 15, 30, 343
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 3, 87
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\auth-proteccion-rutas.guard.spec.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\auth-proteccion-rutas.guard.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\auth-seguridad-global.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\auth-seguridad-global.service.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.html", "HTML", 0, 0, 0, 0, 0, 132, 0, 0, 7, 17, 156
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.ts", "TypeScript", 0, 0, 0, 191, 0, 0, 0, 0, 0, 25, 216
