"filename", "language", "JSON", "JSON with Comments", "TypeScript", "HTML", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 0, 581, 0, 0, 0, 18, 29, 628
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 0, 428, 0, 0, 0, 0, 1, 48, 477
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\services\datos-reforma.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\services\datos-reforma.service.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\services\reformas.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\services\reformas.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\assets\codigos_reforma_vehiculo.json", "JSON", 398, 0, 0, 0, 0, 0, 0, 0, 9, 407
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\assets\ingeniero.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\assets\opciones_reforma_vehiculos.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\main.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\tsconfig.app.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 2, 1, 18
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\tsconfig.json", "JSON with Comments", 0, 25, 0, 0, 0, 0, 0, 2, 1, 28
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 2, 1, 16
"Total", "-", 18663, 25, 8460, 6403, 76, 37, 153, 543, 1208, 35568
